District,Name,Population,Area (Sq Mi),Density,DistrictAll
1,Gilbert Cedillo,236900,15.8,14993.67089,1-Gilbert Cedillo
2,Paul Krekorian,252300,25,10092,2-Paul Krekorian
3,Bob Blumenfield,264400,36.6,7224.043716,3-Bob Blumenfield
4,David Ryu,248300,41,6056.097561,4-David Ryu
5,Paul Koretz,264900,37.5,7064,5-Paul Koretz
6,Nury Martinez,258000,27.2,9485.294118,6-Nury Martinez
7,Felipe Fuentes,260000,54.1,4805.914972,7-Felipe Fuentes
8,Marqueece Harris-Dawson Mike Bonin,250200,16,15637.5,8-Marqueece Harris-Dawson Mike Bonin
9,Curren D. Price Jr.,266000,13,20461.53846,9-Curren D. Price Jr.
10,Herb J. Wesson Jr.,244900,14.5,16889.65517,10-Herb J. Wesson Jr.
11,Mike Bonin,289400,63.8,4536.050157,11-Mike Bonin
12,Mitchell Englander,284400,58.7,4844.974446,12-Mitchell Englander
13,Mitch O'Farrell,252300,13.6,18551.47059,13-Mitch O'Farrell
14,Jose Huizar,236900,24.2,9789.256198,14-Jose Huizar
15,Joe Buscaino,275500,32.1,8582.554517,15-Joe Buscaino
